titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
MAMMA MIA,LLOYD Phyllida,2007,GRANDE BRETAGNE,2024,33,19,2.5384615384615383
FLIC DE BEVERLY HILLS 3 (LE),LANDIS John,1993,ETATS UNIS,2023,33,20,1.2222222222222223
PLACARD (LE),VEBER Francis,2000,FRANCE,2023,33,22,1.5714285714285714
TOUR DU MONDE EN 80 JOURS (LE),CORACI Frank,2004,GRANDE BRETAGNE,2022,33,22,2.0625
GREMLINS,DANTE Joe,1984,ETATS UNIS,2024,32,17,0.9411764705882353
GENDARME A NEW YORK (LE),GIRAULT Jean,1965,FRANCE / ITALIE,2024,32,22,0.6666666666666666
CRIME DE L ORIENT EXPRESS (LE),LUMET Sidney,1974,GRANDE BRETAGNE,2024,32,15,0.7272727272727273
RAMBO III,MacDONALD Peter,1988,ETATS UNIS,2024,32,18,1.032258064516129
UN PONT TROP LOIN,ATTENBOROUGH Richard,1977,ETATS UNIS,2024,32,20,0.7804878048780488
COURSE A L ECHALOTE (LA),ZIDI Claude,1975,FRANCE,2024,32,16,0.7272727272727273
COUP DU PARAPLUIE (LE),OURY Gérard,1980,FRANCE,2023,32,15,0.8
CANONS DE NAVARONE (LES),LEE THOMPSON Jack,1960,GRANDE BRETAGNE,2023,32,14,0.6956521739130435
OSCAR,MOLINARO Edouard,1967,FRANCE,2022,32,19,0.6956521739130435
GENDARME SE MARIE (LE),GIRAULT Jean,1968,FRANCE / ITALIE,2024,32,22,0.6666666666666666
POUIC POUIC,GIRAULT Jean,1963,FRANCE,2023,32,13,0.6274509803921569
INDOMPTABLE ANGELIQUE 1ERE EPOQUE,BORDERIE Bernard,1967,FRANCE / ALLEMAGNE,2022,32,16,0.6153846153846154
GUERRE DES BOUTONS (LA),ROBERT Yves,1961,FRANCE,2017,32,15,0.8421052631578947
TEMPS MODERNES (LES),CHAPLIN Charles,1935,ETATS UNIS,2021,32,9,0.47761194029850745
MISERABLES (LES),DREYFUS Jean-Paul,1957,FRANCE / Italie,2016,32,12,0.6274509803921569
ROBIN DES BOIS - RIDLEY SCOTT -,SCOTT Ridley,2010,GRANDE BRETAGNE,2024,32,19,2.6666666666666665
TAIS-TOI,VEBER Francis,2002,FRANCE / ITALIE,2024,32,22,1.8823529411764706
TRANSPORTEUR (LE),LETERRIER Louis,2002,FRANCE,2024,32,21,1.6842105263157894
MEN IN BLACK II,SONNENFELD Barry,2002,ETATS UNIS,2024,32,20,1.6842105263157894
SISTER ACT,ARDOLINO Emile,1992,ETATS UNIS,2024,32,18,1.1428571428571428
LARGO WINCH,SALLE Jerome,2008,FRANCE,2024,32,21,2.4615384615384617
HOOK,SPIELBERG Steven,1991,ETATS UNIS,2024,32,19,1.103448275862069
IRON MAN,FAVREAU John,2007,ETATS UNIS,2024,32,21,2.4615384615384617
