titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
CHASSEURS DE DRAGONS,HEMMEN François,2006,France / Luxembourg,2024,23,11,2.3
TOUS A L OUEST UNE AVENTURE DE LUCKY LUK,JEAN MARIE Olivier,2006,France,2024,23,15,2.5555555555555554
MEN IN BLACK II,SONNENFELD Barry,2002,ETATS UNIS,2024,23,12,2.3
AVENTURES EXTRAORDINAIRES D ADELE BL (LES),BESSON Luc,2009,FRANCE,2024,22,13,2.2
AMELIE AU PAYS DES BODIN S,LE ROCH Eric,2009,FRANCE,2024,22,13,2.2
PETIT NICOLAS (LE),TIRARD Laurent,2008,FRANCE / BELGIQUE,2024,22,11,2.2
MINCE ALORS,DE TURCKHEIM Charlotte,2011,FRANCE,2024,22,17,2.2
COLERE DES TITANS (LA),LIEBESMANN Jonathan,2011,ETATS UNIS,2023,22,13,2.2
FLIC DE BEVERLY HILLS (LE),BREST Martin,1984,ETATS UNIS,2023,22,10,2.2
RAMBO II,COSMATOS George P,1985,ETATS UNIS,2024,22,10,2.2
FLIC DE BEVERLY HILLS 2 (LE),SCOTT Tony,1987,ETATS UNIS,2023,22,10,2.2
ETUDIANTE (L'),PINOTEAU Claude,1988,FRANCE / ITALIE,2024,22,11,2.2
RAMBO,KOTCHEFF Ted,1982,ETATS UNIS,2024,22,10,2.2
P R O F S,SCHULMANN Patrick,1985,FRANCE,2024,22,16,2.2
BOUM 2 (LA),PINOTEAU Claude,1982,FRANCE,2024,22,11,2.2
LIGNE VERTE (LA),DARABONT Franck,2000,ETATS UNIS,2024,22,13,2.2
VISITEURS EN AMERIQUE (LES),POIRE Jean-Marie,2000,FRANCE,2024,22,14,2.4444444444444446
TAXI 2,KRAWCZYK Gérard,1999,FRANCE,2023,22,11,2.4444444444444446
FABULEUX DESTIN D AMELIE POULAIN (LE),JEUNET Jean-Pierre,2000,FRANCE / ALLEMAGNE,2024,22,14,2.2
RASTA ROCKETT,TURTELTAUB Jon,1993,ETATS UNIS,2024,22,14,2.2
JUMANJI,JOHNSTON Joe,1995,ETATS UNIS,2024,22,11,2.2
RRRRRRR,CHABAT Alain,2003,FRANCE,2024,22,14,2.2
GHOST,ZUCKER Jerry,1990,ETATS UNIS,2024,22,12,2.2
DIDIER,CHABAT Alain,1996,FRANCE,2024,22,17,2.2
FAST AND FURIOUS 5,LIN Justin,2010,ETATS UNIS,2024,21,13,2.1
LISTE DE MES ENVIES (LA),LE PECHEUR Didier,2013,FRANCE,2023,21,13,2.3333333333333335
PLANS DE TABLE,RAYNAL Christelle,2011,FRANCE  / LUXEMBOURG,2023,21,17,2.1
SAFE - BOAZ YAKIN -,YAKIN Boaz,2011,ETATS UNIS,2024,21,14,2.1
VACANCES DE DUCOBU (LES),DE CHAUVERON Philippe,2011,FRANCE,2024,21,14,2.1
CHOC DES TITANS (LE),LETERRIER Louis,2009,GRANDE BRETAGNE,2023,21,11,2.1
TAKEN 2,MEGATON Olivier,2011,FRANCE,2024,21,10,2.1
RUPTURE POUR TOUS,CAPITAINE Eric,2015,BELGIQUE / FRANCE,2024,21,2,3.5
CAPRICE,MOURET Emmanuel,2014,FRANCE,2021,21,1,2.625
FANTOMAS SE DECHAINE,HUNEBELLE André,1965,FRANCE / ITALIE,2024,21,14,2.1
RETOUR VERS LE FUTUR,ZEMECKIS Robert,1985,ETATS UNIS,2024,21,11,2.1
DIRTY DANCING,ARDOLINO Emile,1987,ETATS UNIS,2024,21,13,2.1
VILAIN PETIT CANARD ET MOI (LE),HEGNER Michael,2005,DANEMARK / ALLEMAGNE,2022,21,9,2.1
TANGUY,CHATILIEZ Etienne,2001,FRANCE,2023,21,14,2.3333333333333335
MASQUE DE L ARAIGNEE (LE),TAMAHORI Lee,2001,ETATS UNIS,2024,21,16,2.1
CITE DE LA PEUR... (LA),BERBERIAN Alain,1993,FRANCE,2024,21,14,2.1
FORREST GUMP,ZEMECKIS Robert,1993,ETATS UNIS,2023,21,12,2.1
SHREK 2,ADAMSON Andrew,2004,ETATS UNIS,2024,21,7,2.3333333333333335
BATMAN BEGINS,NOLAN Christopher,2004,ETATS UNIS,2024,21,11,2.1
TRIPLETTES DE BELLEVILLE (LES),CHOMET Sylvain,2000,FRANCE / CANADA,2022,21,13,2.3333333333333335
BILLY ELLIOT,DALDRY Stephen,2000,GRANDE BRETAGNE,2024,21,13,2.1
WASABI,KRAWCZYK Gérard,2001,FRANCE,2023,21,11,2.3333333333333335
THE HOLIDAY,MEYERS Nancy,2006,ETATS UNIS,2024,21,9,2.1
